ID	Titolo	Autore	Trama	Pagine	Categoria	Immagine
1	5 DOMANDE CRUCIALI	Tom Short	Spunti di riflessione che trasformeranno la tua vita.	87	Adulti	https://l-angolo-biblico.vercel.app/copertine/5_domande_cruciali.jpeg
2	15 RAGIONI PER CONSIDERARE LA GENESI COME STORIA	Don Batten	Un'analisi scientifica e biblica sulle origini.	34	Adulti	https://l-angolo-biblico.vercel.app/copertine/15_ragioni.jpeg
3	UN PRETE FRA LA BIBBIA E LE DOTTRINE DEL VATICANO	Dalliard Gregor	La storia di un sacerdote che scopre la verità biblica.	125	Adulti	https://l-angolo-biblico.vercel.app/copertine/un_prete_fra_la_bibbia.jpeg
4	EVOLUZIONE MITO O REALTÀ?	Don Batten	Esplorazione del dibattito tra creazione ed evoluzione.	80	Adulti	https://l-angolo-biblico.vercel.app/copertine/evoluzione_mito_o_realta.jpeg
5	NELL'OMBRA DELL'ONNIPOTENTE	Corrie Ten Boom	Il perdono, la preghiera e la resa nelle mani di Dio.	79	Adulti	https://l-angolo-biblico.vercel.app/copertine/nell_ombra_dell_onnipotente.jpeg
6	AMBURGO	Emil Bunzli	Esperienze di un deportato cristiano 1944-45.	64	Adulti	https://l-angolo-biblico.vercel.app/copertine/amburgo.jpeg
7	AMORE PER I NON AMATI	Fred Grob	Una storia toccante sulla grazia di Dio.	80	Adulti	https://l-angolo-biblico.vercel.app/copertine/amore_per_i_non_amati.jpeg
8	ANALISI DI 4 MOVIMENTI RELIGIOSI	L. Rossi	Confronto tra mormoni, testimoni di geova, new age e scientology.	66	Adulti	https://l-angolo-biblico.vercel.app/copertine/analisi_di_4_movimenti.jpeg
9	LA BIBBIA	Autori Vari	La Parola di Dio scritta per l'uomo.	1386	Adulti	https://l-angolo-biblico.vercel.app/copertine/bibbia.jpeg
10	CERCARE DIO	A. Bianchi	Un percorso spirituale per chi cerca la verità.	40	Adulti	https://l-angolo-biblico.vercel.app/copertine/cercare_dio.jpeg
11	COME SARÀ L'INFERNO	M. Rossi	Una riflessione biblica seria sulla vita futura.	85	Adulti	https://l-angolo-biblico.vercel.app/copertine/come_sara_l_inferno.jpeg
12	COME RICOMINCIARE	Don Batten	Le risposte alle domande più importanti della vita.	34	Adulti	https://l-angolo-biblico.vercel.app/copertine/come_ricominciare.jpeg
13	COSA STA FACENDO DIO SULLA TERRA	J. Smith	Il piano di Dio rivelato attraverso la storia.	40	Adulti	https://l-angolo-biblico.vercel.app/copertine/cosa_sta_facendo_dio.jpeg
14	CRONACA DI UNA RISURREZIONE	F. Morron	Le prove storiche della risurrezione di Cristo.	72	Adulti	https://l-angolo-biblico.vercel.app/copertine/cronaca_di_una_risurrezione.jpeg
15	DAL MAL DI VIVERE ALLA MELODIA DELLA VITA	H.P. Royer	Testimonianza di speranza e vittoria sulla depressione.	67	Adulti	https://l-angolo-biblico.vercel.app/copertine/dal_mal_di_vivere.jpeg
16	DECOLLO VERTICALE	L. Bianchi	Riflessioni per una crescita spirituale rapida.	111	Adulti	https://l-angolo-biblico.vercel.app/copertine/decollo_verticale.jpeg
17	DOVE ERA DIO L'11 SETTEMBRE	J. Blanchard	Risposte bibliche al problema della sofferenza e del male.	39	Adulti	https://l-angolo-biblico.vercel.app/copertine/dove_era_dio_l_11_settembre.jpeg
18	GESÙ È LA VIA	A. Pelliccioli	Guida pratica per seguire il Maestro.	126	Adulti	https://l-angolo-biblico.vercel.app/copertine/gesu_e_la_via.jpeg
19	GESÙ NOSTRO DESTINO	W. Busch	Un classico della letteratura evangelica mondiale.	302	Adulti	https://l-angolo-biblico.vercel.app/copertine/gesu_nostro_destino.jpeg
20	IL DONO	S. Smith	Cosa significa ricevere la vita eterna.	31	Adulti	https://l-angolo-biblico.vercel.app/copertine/il_dono.jpeg
21	IL FASCINO DI QUMRAN	G. Rossi	La scoperta dei rotoli del Mar Morto e la loro importanza.	153	Adulti	https://l-angolo-biblico.vercel.app/copertine/il_fascino_di_qumran.png
22	IL MARTIRE DELLE CATACOMBE	Autore Anonimo	Racconto avvincente della Chiesa primitiva a Roma.	111	Adulti	https://l-angolo-biblico.vercel.app/copertine/il_martire_delle_catacombe.jpeg
23	IL MIO VIAGGIO DALLO SCETTICISMO ALLA FEDE	Josh McDowell	L'indagine di un ateo che lo porta a credere.	79	Adulti	https://l-angolo-biblico.vercel.app/copertine/il_mio_viaggio_dallo_scetticismo.jpeg
24	LA MIA VITA TRA PAURA E SPERANZA	V. Frankl	Testimonianza di fede in tempi difficili.	32	Adulti	https://l-angolo-biblico.vercel.app/copertine/la_mia_vita_tra_paura_e_speranza.jpeg
